id,PodnikID,Year,Velikost,NazevId
23,2,2018,0.0,3
21,2,2018,324.33,2
22,2,2018,1584.81,1
37,1,2017,112.59,4
70,5,2019,3020.63,1
69,5,2019,522.29,2
20,2,2019,0.0,3
73,5,2018,3176.24,1
27,1,2017,2755.16,1
88,6,2018,278.6,1
24,2,2018,2.09,4
29,1,2018,2786.15,1
36,1,2018,690.97,2
31,1,2019,2737.43,1
34,1,2019,702.29,2
33,1,2019,112.59,4
35,1,2018,112.59,4
38,1,2017,664.22,2
39,3,2019,225.84,2
61,2,2020,2.09,4
62,4,2019,1288.22,1
45,6,2019,294.93,1
46,6,2019,32.72,2
58,2,2019,2.09,4
59,2,2020,1584.0,1
49,3,2019,2318.97,1
60,2,2020,325.0,2
56,2,2019,1585.0,1
57,2,2019,324.0,2
71,5,2020,3026.68,1
72,5,2020,522.16,2
55,5,2020,0.0,4
63,4,2019,153.71,2
64,5,2017,3196.63,1
65,5,2017,545.69,2
66,5,2017,0.75,3
67,5,2018,544.49,2
79,3,2020,244.88,2
78,3,2020,2302.68,1
80,6,2020,276.03,1
81,6,2020,34.07,2
82,3,2017,2322.38,1
83,3,2017,226.37,2
84,6,2017,294.78,1
85,6,2017,32.72,2
86,3,2018,2337.95,1
87,3,2018,225.89,2
89,6,2018,32.72,2
96,4,2018,153.71,2
95,4,2018,1288.34,1
97,4,2017,1289.56,1
98,4,2017,151.1,2
99,2,2017,1576.5,1
100,2,2017,323.72,2
101,2,2017,2.09,4
107,8,2020,1578.27,1
109,8,2020,3.26,3
108,8,2020,166.32,2
105,4,2020,1257.29,1
106,4,2020,153.85,2
114,1,2020,2744.32,1
116,1,2020,681.88,2
115,1,2020,113.06,4
113,1,2020,0.0,3
117,4,2014,0.0,1
118,4,2015,0.0,1
119,4,2016,0.0,1
120,1,2021,2745.01,1
121,1,2021,113.06,4
122,1,2021,679.71,2
123,1,2021,0.0,3
124,8,2021,1573.48,1
125,8,2021,161.7,2
126,8,2021,3.25,3
127,4,2022,1240.1,1
128,4,2022,153.79,2
129,4,2021,1250.11,1
130,4,2021,152.38,2
131,5,2022,2951.42,1
132,5,2022,571.86,2
133,5,2021,2963.09,1
134,5,2021,576.09,2
135,3,2022,2259.05,1
136,3,2022,239.46,2
137,3,2021,2277.11,1
138,3,2021,241.34,2
139,6,2022,298.87,1
140,6,2022,33.94,2
141,6,2021,298.22,1
142,6,2021,34.07,2
143,1,2022,2698.52,1
144,1,2022,112.39,4
145,1,2022,648.01,2
146,2,2022,1583.88,1
147,2,2022,2.09,4
148,2,2022,326.19,2
149,8,2022,1563.57,1
150,8,2022,161.7,2
151,8,2022,3.25,3
152,3,2023,2291.06,1
153,3,2023,203.83,2
154,6,2023,296.37,1
155,5,2023,2790.65,1
156,5,2023,543.68,2
157,5,2023,93.04,3
158,1,2023,2615.0,1
159,1,2023,92.55,4
160,1,2023,629.69,2
161,1,2023,82.99,3
162,6,2024,296.29,1
163,3,2024,2228.2,1
164,3,2024,204.13,2
165,3,2024,57.81,3
166,1,2024,2625.96,1
167,1,2024,633.72,2
168,1,2024,93.25,4
169,1,2024,59.14,3
170,5,2024,680.09,2
171,5,2024,96.05,3
172,5,2024,2580.33,1
173,8,2024,1547.59,1
174,8,2024,118.73,2
175,8,2024,3.23,4
176,8,2024,45.88,3
177,8,2023,1553.0,1
178,8,2023,120.05,2
179,8,2023,3.23,4
180,8,2023,46.48,3
181,4,2023,1207.3,1
182,4,2023,189.69,2
188,4,2024,142.07,2
184,9,2023,544.28,1
185,9,2023,17.84,3
186,9,2024,544.15,1
187,9,2024,17.84,3
189,4,2024,664.06,1
190,4,2024,23.11,3
191,2,2021,1583.44,1
192,2,2021,2.02,4
193,2,2021,323.81,2
194,2,2023,1545.24,1
195,2,2023,362.8,2
196,2,2023,2.02,4
197,2,2023,3.33,3
198,2,2024,1547.08,1
199,2,2024,362.31,2
200,2,2024,2.02,4
